worker_id,distance,duration,n,path_order
1,58,78,20,331;3237;3210;3212;3222;1521;2495;2496;352;2499;2500;1386;4187;4081;3444;1492;1481;1483;864;3802
2,47,80,20,869;870;3433;4177;4180;4183;4006;3206;1443;3981;1459;1430;1478;1477;1496;1502;1471;3192;1465;1525
3,42,51,20,1453;4018;4019;4022;4012;4078;4188;4478;4482;3965;3914;3946;3911;3910;3961;4031;4032;4036;4037;1454
4,47,65,20,1046;1048;1128;3807;3803;3817;3928;3927;3945;3944;3908;3143;3142;3138;3137;4043;1308;3818;4448;4444
5,46,54,20,344;346;347;4133;4158;4137;4138;1321;1324;928;3001;4143;4144;4147;4148;4156;4003;3990;3993;3995
6,61,90,21,93;95;2486;2491;4157;3712;2290;3200;3240;3709;4077;3713;3714;1012;4131;3241;3245;3246;4553;4558;4559
7,34,48,20,142;3116;3645;3647;3648;3652;3654;4545;4549;1397;3983;1400;1401;4567;528;525;524;3949;154;153
8,46,72,21,537;540;4202;599;600;4210;4215;4217;4219;4220;3421;807;3411;810;2707;3410;2709;2729;1137;1142;1143
9,42,67,21,542;3416;2534;2532;2530;2527;2525;2521;2519;2518;2517;2516;2512;2538;1042;2502;2501;4113;3008;3010;1135
10,91,112,20,1119;1121;2236;2237;2238;2239;1667;2210;1668;2220;2223;2741;2743;2746;2757;2751;4104;4107;3019;1665
11,36,37,20,48;1127;51;54;56;1653;1654;1655;1661;3543;958;960;1038;1037;1035;955;3426;3428;3430;788
12,35,45,19,934;1005;937;1020;1024;1027;1028;1029;941;942;945;948;966;969;970;972;973;979;982
13,74,86,18,63;64;65;3579;3581;3535;990;2296;2295;2293;2292;1318;1317;1396;1330;1331;1332;996
14,49,62,20,136;137;336;2471;2472;2475;2450;3278;3277;4196;922;509;505;504;3030;3031;448;441;2452;454
15,39,61,19,512;2431;2434;2438;2439;2752;2754;3021;3026;2726;2720;4093;4095;3270;521;3271;3272;3275;517
16,65,75,20,434;435;3660;500;3740;883;890;892;894;897;900;902;905;909;3716;3725;755;3728;2981;2979
17,60,60,17,365;615;3867;3848;3839;3834;3868;3849;3851;3856;764;773;774;387;385;371;366
18,64,75,20,438;439;3181;3182;3671;3670;3668;3664;3742;2443;2481;610;923;924;3397;3400;3401;3404;817;820
19,79,95,21,129;132;827;830;3390;3391;3393;192;195;196;200;201;4536;4537;4542;459;2986;461;491;2984;272
20,40,76,20,102;1219;4061;4070;4071;1228;3080;111;3082;482;1015;3127;189;2580;1161;477;1158;4062;172;4068
21,52,98,20,97;98;99;1224;117;2455;119;1213;1211;126;1298;3134;3135;167;1203;178;1302;170;1166;2466
22,79,108,19,7;3062;3886;2939;2941;2944;2948;2953;2961;3693;3872;3869;3837;426;1195;1200;2972;450;3697
23,60,76,20,16;25;2924;30;33;621;630;631;636;2914;2918;3104;3101;3095;4460;4462;4463;4119;3893;3894
24,41,48,19,44;2901;2902;4126;3897;3900;2419;2425;2427;2430;413;407;398;399;402;403;405;783;786
25,41,53,20,10;12;13;2934;2935;2936;2938;2940;2963;2966;2969;3676;1151;1152;1153;3085;3086;3675;3687;3690
26,57,68,20,1768;1772;1778;1780;1792;2997;2990;1910;1911;1912;1920;1891;1859;2992;2993;1836;1832;2013;1981;1852
27,42,55,20,1805;1810;1811;1936;1940;1941;1943;1948;1869;1954;1956;1967;1966;1962;1959;1877;1880;1882;1883;1888
28,56,65,20,243;3356;3358;3359;3505;4322;1704;2866;1706;1736;1737;1683;1815;1784;1781;1701;1828;1826;845;853
29,45,70,20,247;251;256;4319;257;739;689;690;568;570;2132;544;654;667;668;687;1923;839;858;856
30,52,80,20,725;1620;1624;1287;1288;1292;1578;1601;1561;1684;1675;1676;1677;1568;1565;1640;1639;1635;1631;729
31,43,56,20,259;1560;1698;1695;1693;1692;1614;1610;1609;1607;1606;2038;2037;1617;556;1571;1574;682;1581;677
32,40,56,20,558;560;564;567;2017;2021;2023;2029;1945;1589;1584;1583;2137;2138;2139;2140;2141;3829;3827;3828
33,58,65,20,214;4342;2381;2592;4324;218;4344;4345;4387;225;4333;2383;4329;3496;4510;3347;3345;3343;3342;2879
34,83,100,20,227;232;4507;4359;4357;4355;4339;4391;4393;3554;1343;1237;1239;1240;1359;1367;724;4495;4498;4501
