worker_id,cost,n,path_order
1,18,20,331;2495;2499;2496;352;864;3802;1481;1492;1483;3444;2500;1386;1521;3222;3212;3210;3237;4187;4081
2,24,20,869;870;4180;3433;4177;1478;1477;1496;1502;1471;3192;1465;1525;3206;1443;3981;1459;1430;4006;4183
3,23,20,1453;1454;3961;3946;3965;3914;3910;3911;4482;4031;4032;4478;4036;4037;4078;4188;4018;4012;4019;4022
4,32,20,1046;1048;3818;1308;4043;3817;3803;1128;3807;3928;3927;3945;3944;3908;3143;3142;3138;3137;4448;4444
5,32,20,344;3990;346;347;4003;4156;4133;4158;4137;4138;4148;4147;1324;928;3001;4143;1321;4144;3995;3993
6,26,21,93;2486;2491;4077;3713;1012;3714;3240;3241;3245;3246;4559;4558;4553;4131;4157;3709;3712;2290;3200;95
7,26,20,142;3116;3645;3647;3648;3652;3654;4567;4545;1401;1400;4549;1397;3983;528;525;524;3949;154;153
8,27,21,537;540;3421;4202;1137;807;2729;2709;2707;3410;810;3411;1142;1143;4215;4217;600;599;4219;4210;4220
9,26,21,542;1135;3416;2527;2518;2517;2516;3010;3008;2501;2502;4113;1042;2538;2512;2519;2521;2525;2530;2532;2534
10,52,20,1119;2238;2237;1121;2236;2741;2743;2746;4104;4107;2751;2757;3019;2223;2220;1667;1668;2210;1665;2239
11,24,20,48;1127;1661;1655;1654;1653;56;54;3543;51;1038;1037;1035;955;960;3426;3428;3430;958;788
12,20,19,934;982;1005;1024;1027;1028;1029;966;948;969;970;945;972;973;942;941;1020;937;979
13,52,18,63;64;65;3581;3579;1332;1331;2296;2295;2293;2292;1318;1317;1396;990;1330;996;3535
14,31,20,136;137;336;2471;2472;2452;2450;2475;3278;3277;4196;3030;504;505;922;509;3031;441;448;454
15,27,19,512;2431;2434;2438;2754;2752;2439;3021;2720;4095;4093;3026;2726;521;3270;3271;3272;3275;517
16,34,20,434;2979;2981;3740;883;500;890;892;3728;894;3725;897;900;902;3716;905;909;755;3660;435
17,23,17,365;366;371;764;773;774;3856;385;387;3851;3849;3868;3834;3839;3848;3867;615
18,38,20,438;439;3181;3182;3671;3670;3668;3664;923;924;3397;3400;820;3401;817;3404;610;2481;2443;3742
19,53,21,129;272;2984;132;459;3393;827;192;4542;4536;4537;201;200;196;195;3391;830;3390;2986;491;461
20,20,20,102;172;1219;4062;4061;4070;1228;4071;111;3080;1158;477;1161;2580;3127;1015;189;482;3082;4068
21,17,20,97;98;99;1224;117;2455;119;1166;1211;1213;126;170;1298;1302;178;1203;167;3135;3134;2466
22,59,19,7;3062;2941;2939;3886;3837;3869;1200;2972;450;1195;426;2961;3693;3872;3697;2953;2948;2944
23,43,20,16;2924;25;621;630;631;30;2918;33;3104;2914;636;4460;4462;4463;4119;3893;3894;3095;3101
24,29,19,44;2902;2901;4126;3897;413;407;402;398;399;403;405;2430;2427;2425;783;786;3900;2419
25,38,20,10;2938;12;2936;13;2935;2934;3690;2963;3687;2966;1151;1152;1153;3085;3086;3676;3675;2969;2940
26,32,20,1768;2992;2993;2997;1772;2013;1981;1780;1778;1792;1836;1832;1910;1911;1912;1920;1891;1859;2990;1852
27,34,20,1805;1810;1811;1936;1940;1941;1943;1948;1954;1956;1877;1959;1962;1967;1966;1880;1882;1883;1869;1888
28,31,20,243;3359;3358;3356;3505;2866;1706;1736;1737;1704;4322;1701;1683;1815;1784;1781;1828;1826;845;853
29,26,20,247;251;256;4319;257;690;689;739;687;654;668;667;544;2132;570;568;839;1923;856;858
30,39,20,725;729;1620;1624;1287;1288;1568;1677;1676;1675;1601;1684;1561;1578;1635;1292;1565;1639;1640;1631
31,34,20,259;1560;1692;1693;1695;1698;1614;1610;1609;1607;1606;2038;2037;556;1571;1617;1574;682;1581;677
32,36,20,558;560;564;567;2017;2021;2023;2029;1945;3828;3827;3829;2141;2140;2139;2138;2137;1583;1584;1589
33,34,20,214;4342;4333;2383;4329;2381;2592;4345;4344;4324;218;4387;225;3347;4510;3345;3343;3342;3496;2879
34,52,20,227;4339;4355;4357;4507;4359;232;4501;724;1367;1359;4498;4495;1343;4393;3554;1237;4391;1239;1240
35,62,19,658;710;2306;2308;2309;2310;2312;2313;2315;2316;2319;3567;3564;3563;3558;3555;665;711;692
36,23,20,1272;1273;3452;1274;3450;1544;3642;1516;1485;1487;1549;1550;1533;1373;1372;2539;2543;1390;3053;3457
37,35,21,644;702;647;1619;691;651;698;3051;3049;3042;3461;3462;3463;3036;3466;1262;4469;3218;3458;3456;3052
38,53,20,260;3546;4394;3551;3974;3971;1255;3470;3469;2553;1294;3439;1279;3441;4163;2566;2561;1282;1340;1342
39,48,20,586;591;2792;1079;2829;2831;2832;1075;2835;2340;4245;4239;1067;1065;1063;2192;2180;2824;2785;2787
40,54,20,577;1900;1901;2774;2776;1904;4266;2837;2178;2815;2814;2813;2166;2165;2161;2798;1725;1719;1718;1717
41,58,20,2081;3787;3782;3781;3778;3774;3767;3762;3759;3755;3582;3587;3595;2644;3600;3603;3749;4248;4254;2858
42,41,21,1082;4506;1087;4274;3147;2360;2361;2668;1188;1189;3155;3153;2124;2119;2851;2380;4253;4258;4259;4263;4268
43,40,21,1088;1090;3379;3376;3375;1099;1101;1103;3371;3372;3370;4289;4287;4286;4285;4284;1895;1894;3384;4451;4452
44,62,20,207;2891;3482;3481;3479;3478;4301;4302;3307;4305;4312;1106;1105;1104;3365;2703;2706;2883;2884;2885
45,49,21,277;2245;2241;2373;2363;2089;2092;2079;2077;2098;2100;2076;292;2279;2276;2272;2270;2269;2257;288;283
46,34,20,301;4420;4421;3174;3171;3167;3166;313;3163;317;2118;2112;2110;2109;2105;2102;2073;2069;308;307
47,37,21,2336;3292;3293;3300;3177;4415;4414;4412;4410;4409;4406;4404;4529;4525;4524;4440;4520;4519;4433;4429;4401
48,28,20,1055;1073;2060;2054;2046;2158;2157;2152;3092;3093;2150;2149;2617;2622;2623;2624;2625;3614;1058;3612
49,103,20,2354;2403;2402;2400;2407;2408;3318;3319;3322;3326;3331;3333;3336;2685;2682;2691;2675;2697;2700;3361
50,48,21,73;74;75;3518;3517;82;84;3510;4377;3474;3639;3635;2606;3632;2610;3629;3626;4223;4224;2634;2636
