worker_id,distance,duration,n,path_order
1,71,4478.4,20,331;4081;4187;2495;2496;1492;1481;1483;3444;864;3802;352;2499;2500;1386;3222;3212;3210;3237;1521
2,53,3251.5,20,869;870;4177;4006;3206;1465;1459;1430;3981;1443;1525;3192;1471;1496;1502;1477;1478;3433;4180;4183
3,66,4039.9,20,1453;1454;4018;4019;4022;4012;4078;4478;4482;3965;3914;3910;3911;3961;3946;4031;4032;4188;4036;4037
4,49,4879.6,20,1046;1048;3143;3142;3138;3137;3944;3945;3908;4043;3927;3928;3817;3803;3807;1128;1308;3818;4444;4448
5,45,2585.9,20,344;346;347;4133;4137;4138;1321;1324;928;3001;4143;4144;4147;4148;4158;4156;4003;3990;3993;3995
6,42,2666.1,21,93;95;2486;2491;4131;4157;3713;3714;1012;3709;3712;2290;3200;4077;3240;3241;3245;3246;4553;4558;4559
7,40,2150.1,20,142;153;154;3949;524;525;528;4567;4545;4549;3983;1397;1400;1401;3652;3654;3645;3647;3648;3116
8,48,4086.8,21,537;540;4202;3421;807;810;2709;2707;3410;3411;2729;1137;1142;1143;4210;4215;4217;4219;4220;600;599
9,36,3217.8,21,542;1135;2534;2532;2530;2527;2525;2521;2519;2518;2517;2516;3010;2502;2501;4113;2538;1042;2512;3008;3416
10,82,5569.1,20,1119;1121;2236;2237;2238;2239;1667;1668;2210;2220;2223;2741;2743;2746;3019;2757;2751;4104;4107;1665
11,40,2370.9,20,48;51;54;56;1653;1654;1655;1661;3543;1127;788;3426;3428;3430;958;960;955;1038;1037;1035
12,39,2166.9,19,934;937;1005;1020;1024;1027;1028;1029;941;942;945;948;966;969;970;972;973;979;982
13,80,4649.3,18,63;64;65;3581;3579;3535;996;990;2296;2295;2293;2292;1318;1317;1396;1330;1331;1332
14,49,3418.4,20,136;137;336;2471;2472;3278;3277;2475;448;4196;922;509;505;504;3030;3031;441;2450;2452;454
15,41,3823.0,19,512;2431;2434;2438;2439;2752;2754;3021;4093;4095;3026;2726;2720;3275;3272;3271;3270;521;517
16,59,3688.9,20,434;2979;2981;3740;883;500;890;892;894;3725;3728;897;900;902;905;909;3716;755;3660;435
17,33,2819.6,17,365;615;3867;3848;3839;3834;3868;3849;3851;385;387;3856;774;773;764;371;366
18,64,4761.4,20,438;439;3181;3182;3671;3670;3668;3664;3397;3400;3401;3404;817;820;924;923;610;2481;3742;2443
19,91,6086.3,21,129;461;491;132;3390;3391;3393;4542;4537;4536;192;195;196;200;201;827;830;459;2986;2984;272
20,39,3524.7,20,102;1219;4061;4070;4071;1228;4062;3082;482;4068;1158;477;189;1015;3127;2580;1161;3080;111;172
21,36,3015.3,20,97;1224;99;98;3135;3134;167;1203;178;1302;1298;1213;1211;126;170;1166;2455;117;119;2466
22,80,4695.7,19,7;3062;3886;2939;2941;2944;2948;2953;3872;3869;3837;2961;450;2972;1200;1195;426;3693;3697
23,66,4259.9,20,16;3894;3893;4119;4463;4462;4460;3095;2914;621;630;631;636;33;3101;3104;2918;30;2924;25
24,50,3527.9,19,44;3897;3900;4126;2901;2902;413;407;405;403;402;399;398;2430;2427;2425;2419;786;783
25,41,1953.8,20,10;12;13;2934;2935;2936;2938;2940;2963;2966;2969;3676;1151;1152;1153;3085;3086;3675;3687;3690
26,77,5318.6,20,1768;1778;1780;2013;1981;1792;2997;2990;1910;1911;1912;1920;1891;1859;1852;2992;2993;1772;1836;1832
27,58,4486.1,20,1805;1810;1811;1869;1956;1959;1962;1966;1967;1877;1880;1882;1883;1888;1954;1948;1943;1941;1940;1936
28,67,4135.2,20,243;853;845;1826;1828;1815;1784;1683;1781;1701;3505;1706;1736;1737;4322;1704;2866;3356;3358;3359
29,41,2863.6,20,247;256;4319;257;739;654;667;668;687;689;690;570;2132;568;544;1923;839;858;856;251
30,60,4921.8,20,725;1601;1561;1684;1675;1676;1677;1292;1635;1578;1568;1565;1639;1640;1288;1287;1624;1620;1631;729
31,44,3566.2,20,259;1617;1571;556;2037;2038;1606;1607;1609;1610;1614;1692;1693;1695;1698;1560;677;1581;1574;682
32,44,4035.9,20,558;3828;3827;3829;2141;1583;1584;1589;2140;2139;2138;2137;1945;2029;2023;2021;2017;567;564;560
33,59,3666.8,20,214;4342;4333;2383;2381;2592;4387;218;4344;4345;225;4324;4329;3496;3345;3347;4510;3343;3342;2879
34,86,6227.3,20,227;1239;1240;4391;1237;4393;3554;1343;4495;4498;4501;1359;1367;724;4507;4359;4357;4355;4339;232
35,80,6348.6,19,658;692;711;665;3555;3558;3563;3564;3567;2306;2308;2309;2310;2312;2313;2315;2316;2319;710
36,49,3349.6,20,1272;1273;1274;1544;1516;3642;1485;1487;1549;1550;1533;3450;1390;1372;1373;2539;2543;3452;3457;3053
37,68,4789.8,21,644;647;698;1619;651;691;3051;3049;3042;3052;3458;3218;4469;1262;3461;3462;3463;3036;3466;3456;702
