worker_id,cost,n,path_order
1,27457,21,2464;5479;4143;5660;5659;4108;4204;4141;4133;4137;5683;4185;4120;4090;4191;3275;2988;5648;4933;2465;2468
2,37191,20,1788;2475;2492;1802;2491;3609;5342;3090;6111;1809;3054;3050;4937;3398;4541;4447;4450;5575;4430;5954
3,37900,21,2560;2561;5957;4499;4434;4441;4491;4465;5052;2566;4471;5059;5371;5372;4956;4960;4949;4906;2587;2582;5064
4,23756,20,4449;5268;4466;4474;4457;4453;4455;4508;4521;4505;4510;4558;5554;5017;5021;5553;5569;4484;4481;4483
5,18284,20,2572;4929;5632;4923;3712;4920;3711;5636;5949;3717;5944;3715;3697;5630;5674;5612;5613;5610;5624;5625
6,13499,20,1923;3522;5661;2659;1935;1934;1981;2605;2622;2690;3607;5618;2727;2725;2632;2619;2618;3094;3096;2625
7,30594,20,1830;1857;6113;1847;2773;2772;2774;2764;6152;6019;4559;3849;3816;4549;3829;3831;3839;3733;5969;2627
8,16566,20,1;6120;5486;4768;5491;2986;4809;4289;4287;2396;3570;2381;2421;5272;1734;2970;1314;1313;3218;5157
9,12677,19,526;2390;5988;4292;1828;5643;5170;5517;5167;2532;2344;4777;530;528;527;2518;3213;2393;2358
10,13262,20,327;2960;2431;2411;5534;2416;2401;2403;2426;2429;2405;2509;3013;3012;2339;5073;2407;2362;5075;338
11,19177,21,1024;4015;3907;4058;3083;4129;4118;4125;4004;4000;4009;1424;1423;3924;5118;3970;1401;1323;3971;5124;5595
12,39437,20,1379;4278;4277;4168;4144;4170;4068;5996;2090;5029;5583;5401;5585;5922;5406;4157;4201;5128;1384;4275
13,9972,20,1814;2472;2759;2758;6006;6004;1845;4358;4359;2600;2603;6000;6003;5993;5992;5998;2595;1856;2522;1866
14,13316,20,1873;1970;3542;3538;1883;1938;2828;2744;1908;3550;1919;1876;3667;1874;2747;3664;2741;3673;3660;1914
15,8745,20,1882;2027;2602;2544;2542;2091;2539;2032;2030;2022;2086;2092;2026;2079;2708;2063;2009;2013;2012;2015
16,9832,20,2040;2095;5421;3334;2512;2507;3291;3293;2505;2506;2418;2414;2192;2154;4736;5299;2513;5520;5420;5498
17,22872,20,1029;1257;2297;1031;5311;5890;2311;3071;3073;2242;3566;5090;2238;5152;5049;3067;6150;2314;2275;2285
18,20919,21,478;6062;1924;3370;1993;3357;3358;6063;4709;1899;3617;3628;3605;3600;3650;3658;2823;1967;1929;2139;2142
19,14685,21,2074;2136;2115;2150;4735;2229;5889;2209;2157;2273;2257;4724;2102;6014;6011;6013;2124;2134;3554;5417;3532
