worker_id,cost,n,path_order
1,30,21,2464;2468;2465;4933;5479;5660;5659;5648;2988;3275;4120;4090;4191;4185;5683;4137;4133;4204;4108;4141;4143
2,38,20,1788;2475;2492;1802;2491;3609;5342;3090;3050;6111;1809;3054;4937;3398;5954;4430;5575;4450;4447;4541
3,40,21,2560;2561;5059;4471;4491;4465;5052;2566;4441;4434;4499;5957;5064;2582;2587;4906;4949;5372;5371;4956;4960
4,24,20,4449;5268;4481;5569;4484;4466;4474;4457;4453;4455;4508;4521;4505;4510;4558;5554;5017;5021;5553;4483
5,19,20,2572;4929;5625;5624;5610;5613;5612;5674;5630;3697;3715;3717;5636;5949;5944;3712;3711;4920;4923;5632
6,15,20,1923;3522;2625;3096;2619;2632;2659;5661;1935;1934;1981;2605;2622;2690;3607;2727;5618;2725;2618;3094
7,31,20,1830;6113;1847;2772;2774;6152;2764;2773;1857;6019;4559;3849;3816;3831;3829;4549;3839;3733;5969;2627
8,18,20,1;6120;4809;5486;2986;4768;5491;4289;4287;2396;3570;2381;2421;1313;1314;2970;5272;1734;3218;5157
9,13,19,526;527;528;2532;530;4777;2344;5170;5167;5517;5643;1828;4292;5988;2390;2358;2393;3213;2518
10,13,20,327;338;2426;2429;2405;2362;2407;5075;5073;2339;3012;3013;2509;2403;2431;2401;5534;2416;2411;2960
11,19,21,1024;5595;4125;4004;4118;4000;4009;1424;1423;3924;5118;3970;1401;1323;3971;5124;3907;4015;4129;3083;4058
12,40,20,1379;1384;5128;4201;5922;4144;4157;5406;5585;5401;5583;5029;2090;5996;4068;4170;4168;4277;4278;4275
13,9,20,1814;1866;2522;1856;2595;5998;5992;5993;6003;6000;2603;2600;4359;4358;1845;6004;6006;2758;2759;2472
14,14,20,1873;1970;1914;1883;1938;2828;2741;3664;2747;1874;3667;1876;3673;3660;2744;1908;1919;3550;3538;3542
15,9,20,1882;2012;2015;2013;2708;2009;2063;2079;2026;2022;2086;2030;2032;2539;2091;2542;2092;2544;2602;2027
