worker_id,path_order
1,3612;4223;4224
1,3612;1058;1063;1065;1067;2192;2180;2178
1,3612;1058;1063;1065;1067;4239;3749;3755
1,3612;1058;1063;1065;1067;2192;2180
1,3612;1058;1063;1065;1067;2192;4245
1,3614;1073;3092;3093;2150;2152;2054
1,3612;1058;1063;1065;1067;2192;2180;2178;2824
1,3612;4223;4224;2634;2636;3603;3600;2644;3595
1,3614;1073;2060
1,3612;1058;1063;1065;1067;4239
1,3612;1058;1063;1065;1067;2192
1,3612;4223;4224;2634;2636;3603
1,3614;1073;3092
1,3614;1073;3092;3093
1,3612;1058;1063;1065;1067;2192;4245;4248
1,3612
1,3612;1058;1063;1065;1067;2192;4245;4248;2340;4253
1,3614
1,
1,3612;1058
1,3612;1058;1063;1065;1067;2192;4245;4248;2340
1,3612;1058;1063;1065;1067;4239;3749
1,3612;1058;1063
1,3612;1058;1063;1065
1,3614;1073;3092;3093;2150;2149;2617;3626
1,3612;1058;1063;1065;1067
1,3614;1073;3092;3093;2150;2149;2617;3626;3629
1,3614;1073;3092;3093;2150;2149;2617;3626;3629;2610;3632;2606
1,3612;1058;1063;1065;1067;4239;3749;3755;3759
1,3614;1073;3092;3093;2150;2149;2617;3626;3629;2610;3632
1,3614;1073
1,3614;1073;3092;3093;2150;2149;2617;3626;3629;2610
1,3612;1058;1063;1065;1067;2192;4245;4248;2340;4253;4254
1,3612;1058;1063;1065;1067;4239;3749;3755;3759;3762;3767
1,3614;1073;3092;3093;2150;2149;2617
1,3614;2625;2624;2623;2622
1,3614;2625;2624;2623
1,3614;2625;2624
1,3614;2625
1,3612;4223;4224;2634
1,3612;4223;4224;2634;2636
1,3612;4223;4224;2634;2636;3603;3600;2644;3595;3587
1,3612;4223;4224;2634;2636;3603;3600;2644
1,3612;1058;1063;1065;1067;4239;3749;3755;3759;3762
1,3614;1073;3092;3093;2150;2152;2054;2157;2158;2046;2354
1,3614;1073;3092;3093;2150;2152;2054;2157;2158;2046;2354;2403;2402;2400
1,3612;4223;4224;2634;2636;3603;3600
1,3614;1073;3092;3093;2150;2152;2054;2157;2158;2046;2354;2403;2402
1,3614;1073;3092;3093;2150;2152;2054;2157;2158;2046;2354;2403
1,3614;1073;3092;3093;2150;2149
1,3614;1073;3092;3093;2150
1,3614;1073;3092;3093;2150;2152;2054;2157;2158;2046;2354;2403;2407
1,3614;1073;3092;3093;2150;2152
1,3614;1073;3092;3093;2150;2152;2054;2157
1,3614;1073;3092;3093;2150;2152;2054;2157;2158
1,3614;1073;3092;3093;2150;2152;2054;2157;2158;2046;2354;2403;2407;2408
1,3612;4223;4224;2634;2636;3603;3600;2644;3595;3587;3582
1,3614;1073;3092;3093;2150;2152;2054;2157;2158;2046
1,3612;4223
2,788;958;960;955;966;948;969;970;945;972;973;942;1027;1024
2,788;958;960;955;966;948;969;970;945;972;973;942;1027
2,788;958;960;955;966;948;969;970;945;972;973;942;1027;1028
2,788;958;960;955;966;948;969;970;945;972;973;942;1027;1028;1029
2,788;958;960;955;1038;1037;1035
2,788;958;960;955;1038;1037
2,788;958;960;955;1038
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;540
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;540;4202;542
2,1127;51;3543;54;56;1655
2,
2,1127;51
2,1127;51;3543;54
2,1127;51;3543;54;56
2,1127;51;3543;54;56;1655;1654;1653;3535;63
2,1127;51;3543;54;56;1655;1654;1653;3535;63;64
2,1127;51;3543;54;56;1655;1654;1653;3535;63;64;65
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600
2,1127;51;3543;54;56;1655;1661;1665;2239;1119
2,1127;51;3543;54;56;1655;1661;1665;2239;1119;2238;2237;1121
2,1127
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;540;4202
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;540;4202;542;1135
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;540;4202;542;1137
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210
2,1127;51;3543;54;56;1655;1654;1653
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;1142
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;1142;1143
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4219;4217
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4219
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220
2,1127;51;3543;54;56;1655;1661
2,1127;51;3543;54;56;1655;1661;1665
2,1127;51;3543;54;56;1655;1661;1665;1667
2,1127;51;3543;54;56;1655;1661;1665;1667;1668
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;540;4202;542;1135;3416;807;3411;810;3410;2707
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;540;4202;542;1135;3416;807;3411;810;3410;2709
2,1127;51;3543;54;56;1655;1661;1665;1667;1668;2210
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223;600;599;4210;4220;537;540;4202;542;1135;3416;807;3411;2729
2,1127;51;3543;54;56;1655;1661;1665;2239;2220
2,1127;51;3543;54;56;1655;1661;1665;2239;2220;2223
2,1127;51;3543;54;56;1655;1661;1665;2239;1119;2238;2237;1121;2236
2,1127;51;3543;54;56;1655;1661;1665;2239;1119;2238;2237
