worker_id,distance,duration,n,path_order
1,33,1535.2,19,7;3062;3886;10;12;13;16;25;30;2924;2934;2935;2936;2938;2939;2940;2941;2944;2948
2,65,4924.8,36,928;934;3001;2512;2538;1042;3008;2516;2517;2518;2519;2521;3010;2746;2743;2741;3019;3021;2757;2751;2752;2754;4104;4107;2502;2501;4113;4143;4144;4147;4148;4158;4137;4138;1321;1324
3,73,6733.2,25,277;3787;3782;3781;3778;3774;2109;2110;2112;2105;2102;2100;2098;2092;2079;2077;2076;2069;2073;2089;2081;2363;2373;2241;2245
4,94,7155.3,37,33;3104;3101;3095;3893;3894;4119;4126;2901;2902;44;3897;3900;2419;2425;2427;2430;407;413;405;403;402;399;398;773;774;783;786;4463;4462;4460;2914;621;630;631;636;2918
5,64,4334.8,28,243;247;251;256;4319;257;739;654;665;710;724;725;658;1367;692;711;667;668;687;689;690;544;568;570;2132;1923;839;3359
6,9,824.0,5,435;438;439;3181;3182
7,45,3513.9,19,218;3551;3554;3555;3558;2306;2308;2309;2310;2312;2313;2315;2316;2319;3567;3564;3563;4345;4344
8,42,3250.7,21,126;1211;2986;461;491;426;1200;2972;1195;459;2984;132;136;137;272;129;170;1298;1203;178;1302
9,110,8650.1,41,317;3153;3147;2792;2787;2785;591;586;1717;577;1900;1901;1904;2776;2774;2813;2814;2815;2824;2829;2831;2832;2835;2380;2851;2858;4258;4259;4263;4266;4268;2837;1075;1079;1082;4506;1087;4274;2124;2119;2118
10,14,1451.1,8,537;4210;4215;4217;4219;4220;599;600
11,41,2473.7,16,48;51;54;56;3543;1127;788;2223;3426;3428;3430;958;960;966;969;955
12,62,4502.4,29,336;2471;454;448;450;4196;3278;3277;3275;3272;3271;3270;521;504;505;610;4093;4095;3026;2726;2720;3030;3031;2481;441;2450;2452;2472;2475
13,77,5198.2,30,1055;3612;3632;2408;2407;2402;2403;2354;2046;2158;2157;2054;2060;2152;2150;3093;3092;2149;3626;3629;3635;2610;2617;2623;2624;2625;1058;1073;3614;2622
14,51,3911.0,22,540;542;2534;2532;2530;2527;2525;1143;1142;1137;1135;807;810;817;2709;2707;3410;3411;2729;3416;3421;4202
15,34,3148.3,14,1589;2037;2038;1606;1607;1609;1610;1614;1692;1693;1695;1698;1684;1601
16,54,4493.3,31,111;1158;1161;2455;117;1166;3134;3135;167;2466;119;1213;1015;3127;189;2580;477;3080;3082;482;1151;1152;1153;3085;3086;3675;3687;2966;2969;3676;4068
17,61,5055.4,28,259;1617;1571;556;1574;677;1581;1578;682;1635;1631;691;729;1620;1624;1640;1639;1565;1292;1288;1287;1282;1568;1677;1676;1675;1561;1560
18,56,3461.7,27,93;95;2486;2491;4133;3713;3241;3245;3246;3714;1012;4131;4156;4157;3712;2290;3200;4003;3990;3993;3995;344;346;347;4077;3240;3709
19,25,2182.9,6,365;366;371;764;3671;615
20,165,11489.8,58,845;853;856;858;3358;3356;3347;3345;4510;4507;4359;4357;3343;3342;2879;3505;1725;1719;1718;1895;1894;3384;4451;1088;4452;1704;2866;1706;1736;1737;1683;1828;1826;1815;1784;2013;1981;1792;2997;1805;1910;1911;1912;1920;1891;1859;1852;2992;2993;1772;1836;1832;1768;1778;1780;1781;1701;4322
21,105,6612.6,52,331;3222;3212;3210;1521;2495;2496;352;2499;2500;864;3802;3444;1544;1492;1502;1496;1481;1483;1485;1516;3642;1487;1549;1550;1533;3450;3452;1273;1274;1390;2553;3439;1294;3441;4163;2561;2566;1279;2539;1372;1373;644;647;1619;651;3051;3049;698;702;2543;1386
22,153,9363.3,52,63;3581;3579;2400;75;82;84;3474;3478;3479;3481;3482;2891;207;2798;2161;2165;2166;2706;2703;3496;2883;2884;2885;214;4342;2381;4329;2383;4333;4339;227;225;4387;4391;4393;4394;1239;1240;4324;2592;4377;2606;3639;3510;3517;3518;73;74;64;65;3535
23,54,3668.2,20,937;1005;941;942;945;948;1038;1037;1035;1029;1028;1027;1024;4448;1020;970;972;973;979;982
24,42,3731.9,11,232;4501;4498;4495;1359;1342;260;3546;1343;1237;4355
25,64,5217.4,22,1810;1811;2990;1967;1966;1962;1959;1877;1956;1954;1869;1948;2029;1945;1943;1941;1936;1940;1880;1882;1883;1888
26,26,2142.1,15,1119;1121;2236;2237;2238;2239;1667;1668;2220;2210;1653;1654;1655;1661;1665
27,19,1879.4,6,512;517;2439;2438;2434;2431
28,50,5164.8,19,1188;2360;2361;2668;2675;2691;2697;2682;2685;4433;4429;4440;4525;4529;4524;4520;4519;3155;1189
29,79,4853.6,37,142;3116;1459;1430;869;870;4180;4183;3206;4177;3433;1478;1477;1471;3192;1465;1525;4006;4012;4018;4019;4022;3981;1443;3645;3647;3648;3652;3654;4545;4567;528;3949;154;153;1453;1454
30,70,4361.0,26,434;3740;3742;2443;883;890;892;894;3725;3728;3390;3391;897;900;902;905;909;3716;755;3670;3668;3664;3660;500;2981;2979
31,33,2377.9,17,558;3828;3827;3829;2141;1583;1584;2140;2139;2138;2137;2017;2021;2023;567;564;560
32,56,4278.8,20,192;924;923;922;509;827;830;3393;3397;3400;3401;3404;820;4542;4537;4536;201;200;196;195
33,97,8355.9,33,1090;1099;1101;1103;1104;1105;1106;4289;4287;4286;4285;4284;2700;3361;4301;4302;4305;4312;3307;3318;3319;3322;3326;3331;3333;3336;3365;3370;3371;3372;3375;3376;3379
34,30,2211.0,19,385;387;2961;2963;3690;3693;3697;2953;3872;3869;3834;3839;3867;3848;3837;3868;3849;3851;3856
35,85,8048.6,33,283;2257;2269;2270;2272;2276;2279;3293;3292;3300;3177;4420;4421;4415;4414;4412;4410;4409;4406;2336;4404;4401;3163;3166;3167;3171;3174;308;313;307;301;292;288
36,99,6913.7,27,1063;1065;2192;2180;2178;1067;4245;4248;2340;4254;4253;4239;3749;3755;3759;3762;3767;3582;3587;3595;2644;3600;3603;4223;4224;2634;2636
37,109,7777.3,37,524;3946;3944;3945;4031;4032;3910;3965;3914;3927;3928;3143;3142;3138;3137;4043;1308;3818;4444;1046;1048;3803;3817;1128;3807;4187;4188;4478;4036;4037;4081;4078;4482;3911;3908;3961;525
38,15,1457.4,12,97;1224;1228;4062;172;102;1219;4061;4070;4071;99;98
39,35,2221.6,20,990;996;1330;1331;1332;1396;1317;1318;4558;4559;3983;1397;1400;1401;4549;4553;2292;2293;2295;2296
40,52,3939.0,22,1255;1262;3456;1272;3237;4469;3218;3457;3458;3053;3052;3042;3036;3461;3462;3463;3466;3469;3470;3971;3974;1340
