segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,x,y,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,order_list_of_workers,assigned_points
7,27173241,ถนนสุขุมวิท,trunk,12.7311547958,100.891118948,12.7270157333,100.889273125,705327.900975,1408152.40617,67244.9678202,44387.2720211,68847.8393983,6469.72262755,88200.1485564,88004.5985193,44953.2154777,67123.2369382,24287.6259686,88266.9242974,4;9;2;7;8;1;3;6;5;10,4
10,27173241,ถนนสุขุมวิท,trunk,12.7183466766,100.887398511,12.7138886647,100.888152386,704934.108124,1406732.39794,68519.3175269,45802.698061,70289.1550129,7209.25846172,89672.9817838,89416.5031571,46421.4863931,68586.8669824,25760.3743302,89513.6009196,4;9;2;7;1;8;3;6;10;5,4
12,27173241,ถนนสุขุมวิท,trunk,12.7094329973,100.888920675,12.7049803204,100.88970701,705106.597542,1405747.4019,69094.0040381,46558.3248577,71086.9683122,7446.62973965,90563.0224796,90162.8765868,47358.6210023,69534.0508809,26652.7420913,90056.3044376,4;9;2;7;1;8;3;10;6;5,4
13,27173241,ถนนสุขุมวิท,trunk,12.7049803204,100.88970701,12.7005279662,100.890494926,705195.584536,1405255.38434,69382.7074442,46937.7715765,71486.1217776,7609.34803409,91007.6421945,90536.0601136,47827.1904091,70007.3127771,27100.5291931,90328.2604922,4;9;2;7;1;8;3;10;6;5,4
16,27173241,ถนนสุขุมวิท,trunk,12.6916190752,100.892046501,12.6871691114,100.892841521,705460.438894,1403778.9606,70264.7650804,48090.6879968,72692.3225481,8263.30343977,92345.8536231,91664.2551464,49237.3208549,71429.9492525,28455.2174386,91157.4871126,4;9;2;7;1;8;3;10;6;5,4
25,27173241,ถนนสุขุมวิท,trunk,12.6679376399,100.917656348,12.6667653431,100.922101011,708261.648998,1401179.17637,70338.5533261,49145.1245077,73894.7362031,8713.04802751,94106.7892195,92542.115082,51440.2082384,73675.0108379,30451.5149358,91036.75415,4;9;2;7;1;8;3;10;6;5,4
30,27173241,ถนนสุขุมวิท,trunk,12.6663321807,100.940309257,12.6666406875,100.944899523,710723.974739,1401019.72361,68899.5397249,48316.2268521,73111.8353115,8218.65742738,93680.6847475,91537.4892023,51404.5661514,73631.4474793,30355.6181145,89478.4671545,4;9;2;7;1;3;8;10;6;5,4
33,27173241,ถนนสุขุมวิท,trunk,12.6690868162,100.953320931,12.6726398589,100.956164084,712135.302561,1401335.03808,67779.459422,47510.9025044,72315.5770685,7854.49355312,93067.2463556,90622.1263288,51030.9672817,73237.481365,29984.3200413,88299.9405359,4;9;2;7;1;3;8;10;6;5,4
44,27173241,ถนนสุขุมวิท,trunk,12.6958344495,100.994180122,12.697565989,100.998429856,716551.698401,1404328.06853,62729.9908893,43269.6200779,68044.8529037,6849.17350173,89291.0474232,86021.3283842,48111.5359899,70172.0364264,27270.0912062,83137.1373565,4;9;2;7;1;3;8;10;6;5,4
48,27622071,,trunk,13.093091,101.1297857,13.0968999675,101.132263667,730918.523798,1448402.91524,23655.1473926,3337.02952516,21689.9465336,43672.8160915,43936.675711,40308.2874467,17804.9476297,30280.7371974,25026.5578193,44195.0000001,2;7;3;1;9;8;6;4;5;10,2
